Species,Paleoenvironment
Eudimorphodon_ranzii,Marine
Eudimorphodon_rosenfeldi,Marine
Eudimorphodon_cromptonellus,Terrestrial
Peteinosaurus_zambelli,Marine
Caviramus_schesaplanensis,Marine
Raeticodactylus_filisurensis,-
Austriadactylus_cristatus,-
Preondactylus_buffarinii,-
Dimorphodon_macronyx,-
Parapsicephalus_purdoni,-
Campylognathoides_liasicus,-
Campylognathoides_zitteli,-
Sericipterus_wucaiwanensis,-
Angustinaripterus_longicephalus,Terrestrial
Harpactognathus_gentryii,Terrestrial
Cacibupteryx_caribensis,Marine
Rhamphorhynchus_muensteri,Marine
Qinglongopterus_guoi,Terrestrial
Nesodactylus_hesperius,Marine
Dorygnathus_banthensis,Marine
Scaphognathus_crassirostris,?
Sordes_pilosus,Terrestrial
Darwinopterus_modularis,Terrestrial
Wukongopterus_lii,?
Pterorhynchus_wellnhoferi,Terrestrial
Changchengopterus_pani,?
Batrachognathus_volans,?
Jeholopterus_ningchengensis,?
Anurognathus_ammoni,Terrestrial
Dendrorhynchoides_curvidentatus,Terrestrial
Kryptodrakon_progenitor,Terrestrial
Gnathosaurus_subulatus,Marine
Gnathosaurus_macrurus,Marine
Plataleorhynchus_streptophorodon,Marine
Huanhepterus_quingyangensis,Terrestrial
Moganopterus_zhuiana,Terrestrial
Elanodactylus_prolatus,Terrestrial
Kepodactylus_insperatus,Terrestrial
Ctenochasma_elegans,Marine
Ctenochasma_porocristata,Marine
Pterodaustro_guinazui,Terrestrial
Eosipterus_yangi,Terrestrial
Beipiaopterus_chenianus,Terrestrial
Gegepterus_changi,Terrestrial
Boreopterus_cuiae,Terrestrial
Feilongus_youngi,Terrestrial
Gallodactylus_canjuersensis,Marine
Cycnorhamphus_suevicus,Marine
Ardeadactylus_longicollum,Marine
Pterodactylus_kochi,Marine
Pterodactylus_antiquus,Marine
Normannognathus_wellnhoferi,Marine
Germanodactylus_cristatus,Marine
Germanodactylus_rhamphastinus,Marine
Haopterus_gracilis,Terrestrial
Anhanguera_santanae,Marine
Anhanguera_piscator,Marine
Anhanguera_blittersdorffi,Marine
Anhanguera_araripensis,Marine
Liaoningopterus_gui,Terrestrial
Tropeognathus_mesembrinus,Marine
Coloborhynchus_clavirostris,Marine
Ornithocheirus_simus,Marine
Brasileodactylus_araripensis,Marine
Ludodactylus_sibbicki,Terrestrial
Guidraco_venator,Terrestrial
Zhenyuanopterus_longirostris,Terrestrial
Cearadactylus_atrox,Marine
Hongshanopterus_lacustris,Terrestrial
Lonchodectes_compressirostris,Marine
Nurhachius_ignaciobritoi,Terrestrial
Liaoxipterus_brachyognathus,Terrestrial
Istiodactylus_sinensis,Terrestrial
Istiodactylus_latidens,Marine
Longchengopterus_zhaoi,Terrestrial
Pteranodon_longiceps,Marine
Pteranodon_sternbergi,Marine
Nyctosaurus_gracilis,Marine
Nyctosaurus_lamegoi,Marine
Muzquizopteryx_coahuilensis,Marine
Tupandactylus_navigans,Terrestrial
Tupandactylus_imperator,Terrestrial
Bakonydraco_galaczi,Terrestrial
Tapejara_wellnhoferi,Marine
Europejara_olcadesorum,Terrestrial
Huaxiapterus_benxiensis,Terrestrial
Huaxiapterus_corollatus,Terrestrial
Eopteranodon_lii,Terrestrial
Sinopterus_gui,Terrestrial
Huaxiapterus_jii,Terrestrial
Sinopterus_dongi,Terrestrial
Nemicolopterus_crypticus,Terrestrial
Bennettazhia_oregonensis,Marine
Dsungaripterus_weii,Terrestrial
Domeykodactylus_ceciliae,Terrestrial
Noripterus_parvus,Terrestrial
Noripterus_complicidens,Terrestrial
Tupuxuara_longicristatus,Marine
Tupuxuara_leonardii,Marine
Thalassodromeus_sethi,Marine
Chaoyangopterus_zhangi,Terrestrial
Jidapterus_edentus,Terrestrial
Eoazhdarcho_liaoxiensis,Terrestrial
Shenzhoupterus_chaoyangensis,Terrestrial
Zhejiangopterus_linhaiensis,Terrestrial
Azhdarcho_lancicollis,Terrestrial
Arambourgiania_philadelphiae,Marine
Quetzalcoatlus_northropi,Terrestrial
